AlertID,AlertType,Severity,Domain,Entity,Message,RecommendedAction,PriorityScore,RiskLevel,FinancialImpact,TimeSensitivity,DecisionID
AL-00017,Supplier Delay,Medium,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Supplier Escalation recommended for PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other with priority 44.3.,Reorder Today,44.29,Medium,429.23,Monitor,DI-00017
AL-00018,Supplier Delay,Medium,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Supplier Escalation recommended for PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other with priority 44.3.,Demand Buffer Optimization,44.29,Medium,429.23,Monitor,DI-00018
AL-00019,Supplier Delay,Medium,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Supplier Escalation recommended for PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other with priority 44.3.,Supplier Review,44.28,Medium,420.66,Monitor,DI-00019
AL-00020,Supplier Delay,Medium,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Supplier Escalation recommended for PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other with priority 44.3.,Demand Buffer Optimization,44.28,Medium,420.66,Monitor,DI-00020
AL-00021,Supplier Delay,Medium,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Supplier Escalation recommended for PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other with priority 44.3.,Reorder Today,44.28,Medium,420.66,Monitor,DI-00021
AL-00022,Supplier Delay,Medium,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Supplier Escalation recommended for PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other with priority 44.3.,Reorder Today,44.28,Medium,407.85,Monitor,DI-00022
AL-00023,Supplier Delay,Medium,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Supplier Escalation recommended for PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other with priority 44.3.,Supplier Review,44.28,Medium,407.85,Monitor,DI-00023
AL-00024,Supplier Delay,Medium,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Supplier Escalation recommended for PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other with priority 44.3.,Demand Buffer Optimization,44.28,Medium,407.85,Monitor,DI-00024
AL-00080,Demand Spike,Medium,Forecasting,Global Revenue,Increase Inventory recommended for Global Revenue with priority 40.4.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",40.41,Medium,326.98,Monitor,DI-00080
AL-00081,Demand Spike,Medium,Forecasting,United Kingdom,Increase Inventory recommended for United Kingdom with priority 40.4.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",40.41,Medium,326.98,Monitor,DI-00081
AL-00082,Demand Spike,Medium,Forecasting,Global Revenue,Increase Inventory recommended for Global Revenue with priority 40.3.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",40.28,Medium,324.8,Monitor,DI-00082
AL-00083,Demand Spike,Medium,Forecasting,United Kingdom,Increase Inventory recommended for United Kingdom with priority 40.3.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",40.28,Medium,324.8,Monitor,DI-00083
AL-00084,Demand Spike,Medium,Forecasting,Global Revenue,Increase Inventory recommended for Global Revenue with priority 40.2.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",40.16,Medium,322.62,Monitor,DI-00084
AL-00085,Demand Spike,Medium,Forecasting,United Kingdom,Increase Inventory recommended for United Kingdom with priority 40.2.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",40.16,Medium,322.62,Monitor,DI-00085
AL-00086,Demand Spike,Medium,Forecasting,Global Revenue,Increase Inventory recommended for Global Revenue with priority 40.0.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",40.04,Medium,320.45,Monitor,DI-00086
AL-00087,Demand Spike,Medium,Forecasting,United Kingdom,Increase Inventory recommended for United Kingdom with priority 40.0.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",40.04,Medium,320.45,Monitor,DI-00087
AL-00088,Demand Spike,Medium,Forecasting,United Kingdom,Increase Inventory recommended for United Kingdom with priority 39.9.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",39.92,Medium,318.27,Monitor,DI-00089
AL-00089,Demand Spike,Medium,Forecasting,Global Revenue,Increase Inventory recommended for Global Revenue with priority 39.9.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",39.92,Medium,318.27,Monitor,DI-00090
AL-00090,Demand Spike,Medium,Forecasting,Global Revenue,Increase Inventory recommended for Global Revenue with priority 39.8.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",39.8,Medium,316.09,Monitor,DI-00092
AL-00091,Demand Spike,Medium,Forecasting,United Kingdom,Increase Inventory recommended for United Kingdom with priority 39.8.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",39.8,Medium,316.09,Monitor,DI-00093
AL-00092,Demand Spike,Medium,Forecasting,United Kingdom,Increase Inventory recommended for United Kingdom with priority 39.7.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",39.68,Medium,313.91,Monitor,DI-00095
AL-00093,Demand Spike,Medium,Forecasting,Global Revenue,Increase Inventory recommended for Global Revenue with priority 39.7.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",39.68,Medium,313.91,Monitor,DI-00096
AL-00094,Demand Spike,Medium,Forecasting,United Kingdom,Increase Inventory recommended for United Kingdom with priority 39.6.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",39.56,Medium,311.73,Monitor,DI-00098
AL-00095,Demand Spike,Medium,Forecasting,Global Revenue,Increase Inventory recommended for Global Revenue with priority 39.6.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",39.56,Medium,311.73,Monitor,DI-00099
AL-00096,Revenue Opportunity,Medium,Forecasting,Global Revenue,Bundle Products recommended for Global Revenue with priority 37.8.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",37.77,Medium,309.55,Monitor,DI-00122
AL-00097,Revenue Opportunity,Medium,Forecasting,United Kingdom,Bundle Products recommended for United Kingdom with priority 37.8.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",37.77,Medium,309.55,Monitor,DI-00123
AL-00098,Revenue Opportunity,Medium,Forecasting,United Kingdom,Bundle Products recommended for United Kingdom with priority 37.7.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",37.67,Medium,307.37,Monitor,DI-00129
AL-00099,Revenue Opportunity,Medium,Forecasting,Global Revenue,Bundle Products recommended for Global Revenue with priority 37.7.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",37.67,Medium,307.37,Monitor,DI-00130
AL-00100,Revenue Opportunity,Medium,Forecasting,United Kingdom,Bundle Products recommended for United Kingdom with priority 37.6.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",37.57,Medium,305.19,Monitor,DI-00132
AL-00101,Revenue Opportunity,Medium,Forecasting,Global Revenue,Bundle Products recommended for Global Revenue with priority 37.6.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",37.57,Medium,305.19,Monitor,DI-00133
AL-00102,Revenue Opportunity,Medium,Forecasting,United Kingdom,Bundle Products recommended for United Kingdom with priority 37.5.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",37.48,Medium,303.02,Monitor,DI-00135
AL-00103,Revenue Opportunity,Medium,Forecasting,Global Revenue,Bundle Products recommended for Global Revenue with priority 37.5.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",37.48,Medium,303.02,Monitor,DI-00137
AL-00104,Revenue Opportunity,Medium,Forecasting,United Kingdom,Bundle Products recommended for United Kingdom with priority 37.4.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",37.38,Medium,300.84,Monitor,DI-00142
AL-00105,Revenue Opportunity,Medium,Forecasting,Global Revenue,Bundle Products recommended for Global Revenue with priority 37.4.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",37.38,Medium,300.84,Monitor,DI-00143
AL-00106,Revenue Opportunity,Medium,Forecasting,United Kingdom,Bundle Products recommended for United Kingdom with priority 37.3.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",37.28,Medium,298.66,Monitor,DI-00147
AL-00107,Revenue Opportunity,Medium,Forecasting,Global Revenue,Bundle Products recommended for Global Revenue with priority 37.3.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",37.28,Medium,298.66,Monitor,DI-00148
AL-00108,Revenue Opportunity,Medium,Forecasting,United Kingdom,Bundle Products recommended for United Kingdom with priority 37.3.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",37.27,Medium,294.49,Monitor,DI-00149
AL-00109,Revenue Opportunity,Medium,Forecasting,Global Revenue,Bundle Products recommended for Global Revenue with priority 37.3.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",37.27,Medium,294.49,Monitor,DI-00150
AL-00110,Revenue Opportunity,Medium,Forecasting,United Kingdom,Bundle Products recommended for United Kingdom with priority 37.2.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",37.18,Medium,296.48,Monitor,DI-00152
AL-00111,Revenue Opportunity,Medium,Forecasting,Global Revenue,Bundle Products recommended for Global Revenue with priority 37.2.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",37.18,Medium,296.48,Monitor,DI-00153
AL-00112,Revenue Opportunity,Medium,Forecasting,Global Revenue,Bundle Products recommended for Global Revenue with priority 37.2.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",37.18,Medium,292.32,Monitor,DI-00154
AL-00113,Revenue Opportunity,Medium,Forecasting,United Kingdom,Bundle Products recommended for United Kingdom with priority 37.2.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",37.18,Medium,292.32,Monitor,DI-00155
AL-00114,Revenue Opportunity,Medium,Forecasting,United Kingdom,Bundle Products recommended for United Kingdom with priority 37.1.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",37.09,Medium,294.3,Monitor,DI-00160
AL-00115,Revenue Opportunity,Medium,Forecasting,Global Revenue,Bundle Products recommended for Global Revenue with priority 37.1.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",37.09,Medium,294.3,Monitor,DI-00161
AL-00116,Revenue Opportunity,Medium,Forecasting,United Kingdom,Bundle Products recommended for United Kingdom with priority 37.1.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",37.08,Medium,290.14,Monitor,DI-00162
AL-00117,Revenue Opportunity,Medium,Forecasting,Global Revenue,Bundle Products recommended for Global Revenue with priority 37.1.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",37.08,Medium,290.14,Monitor,DI-00163
AL-00118,Revenue Opportunity,Medium,Forecasting,United Kingdom,Bundle Products recommended for United Kingdom with priority 37.0.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",36.99,Medium,292.12,Monitor,DI-00167
AL-00119,Revenue Opportunity,Medium,Forecasting,Global Revenue,Bundle Products recommended for Global Revenue with priority 37.0.,"Align inventory, pricing, and promotion planning to capture forecasted demand.",36.99,Medium,292.12,Monitor,DI-00168
AL-00008,Inventory Excess,Watch,Inventory,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,Reduce Overstock recommended for ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor with priority 44.8.,Demand Buffer Optimization,44.75,Low,9982.98,Monitor,DI-00008
AL-00009,Supplier Delay,Watch,Inventory,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,Supplier Escalation recommended for ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor with priority 44.5.,Supplier Review,44.53,Low,9628.61,Monitor,DI-00009
AL-00025,Inventory Excess,Watch,Inventory,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,Reduce Overstock recommended for WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting with priority 44.2.,Demand Buffer Optimization,44.24,Low,9960.6,Monitor,DI-00025
AL-00026,Customer Leaving,Watch,Churn,15760,Retain High Value Customer recommended for 15760 with priority 43.7.,VIP Retention,43.72,Low,5719.92,Monitor,DI-00026
AL-00027,Customer Leaving,Watch,Churn,15768,Retain High Value Customer recommended for 15768 with priority 43.6.,Send Email Campaign,43.65,Low,7008.93,Monitor,DI-00027
AL-00028,Customer Leaving,Watch,Churn,17448,Retain High Value Customer recommended for 17448 with priority 42.9.,Send Email Campaign,42.86,Low,6518.47,Monitor,DI-00028
AL-00029,Supplier Delay,Watch,Inventory,BROCADE RING PURSE  | United Kingdom | Accessories,Supplier Escalation recommended for BROCADE RING PURSE  | United Kingdom | Accessories with priority 42.3.,Supplier Review,42.27,Low,2575.9,Monitor,DI-00029
AL-00030,Supplier Delay,Watch,Inventory,BROCADE RING PURSE  | United Kingdom | Accessories,Supplier Escalation recommended for BROCADE RING PURSE  | United Kingdom | Accessories with priority 42.3.,Reorder Today,42.27,Low,2575.9,Monitor,DI-00030
AL-00031,Supplier Delay,Watch,Inventory,BROCADE RING PURSE  | United Kingdom | Accessories,Supplier Escalation recommended for BROCADE RING PURSE  | United Kingdom | Accessories with priority 42.3.,Demand Buffer Optimization,42.27,Low,2575.9,Monitor,DI-00031
AL-00032,Customer Leaving,Watch,Churn,12918,Retain High Value Customer recommended for 12918 with priority 42.3.,VIP Retention,42.26,Low,4000.13,Monitor,DI-00032
AL-00033,Customer Leaving,Watch,Churn,18052,Retain High Value Customer recommended for 18052 with priority 42.0.,VIP Retention,42.05,Low,3957.21,Monitor,DI-00033
AL-00034,Supplier Delay,Watch,Inventory,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,Supplier Escalation recommended for WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other with priority 42.0.,Demand Buffer Optimization,41.97,Low,2078.36,Monitor,DI-00034
AL-00035,Supplier Delay,Watch,Inventory,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,Supplier Escalation recommended for WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other with priority 42.0.,Warehouse Transfer,41.97,Low,2078.36,Monitor,DI-00035
AL-00036,Supplier Delay,Watch,Inventory,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,Supplier Escalation recommended for WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other with priority 42.0.,Reorder Today,41.97,Low,2078.36,Monitor,DI-00036
AL-00037,Supplier Delay,Watch,Inventory,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,Supplier Escalation recommended for WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other with priority 42.0.,Supplier Review,41.97,Low,2078.36,Monitor,DI-00037
AL-00038,Customer Leaving,Watch,Churn,14091,Retain High Value Customer recommended for 14091 with priority 41.7.,VIP Retention,41.67,Low,4043.34,Monitor,DI-00038
AL-00039,Inventory Shortage,Watch,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Warehouse Transfer recommended for PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other with priority 41.6.,Move available stock to the warehouse-market pair with the highest demand coverage gap.,41.61,Low,464.32,Monitor,DI-00039
AL-00040,Inventory Shortage,Watch,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Warehouse Transfer recommended for PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other with priority 41.6.,Move available stock to the warehouse-market pair with the highest demand coverage gap.,41.59,Low,421.79,Monitor,DI-00040
AL-00041,Inventory Shortage,Watch,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Warehouse Transfer recommended for PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other with priority 41.6.,Move available stock to the warehouse-market pair with the highest demand coverage gap.,41.59,Low,435.72,Monitor,DI-00041
AL-00042,Inventory Shortage,Watch,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Warehouse Transfer recommended for PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other with priority 41.6.,Move available stock to the warehouse-market pair with the highest demand coverage gap.,41.58,Low,417.07,Monitor,DI-00042
AL-00043,Inventory Shortage,Watch,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Warehouse Transfer recommended for PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other with priority 41.6.,Move available stock to the warehouse-market pair with the highest demand coverage gap.,41.58,Low,412.12,Monitor,DI-00043
AL-00044,Supplier Delay,Watch,Inventory,BROCADE RING PURSE  | United Kingdom | Accessories,Supplier Escalation recommended for BROCADE RING PURSE  | United Kingdom | Accessories with priority 41.5.,Reorder Today,41.53,Low,1347.14,Monitor,DI-00044
AL-00045,Supplier Delay,Watch,Inventory,BROCADE RING PURSE  | United Kingdom | Accessories,Supplier Escalation recommended for BROCADE RING PURSE  | United Kingdom | Accessories with priority 41.5.,Supplier Review,41.53,Low,1347.14,Monitor,DI-00045
AL-00046,Supplier Delay,Watch,Inventory,BROCADE RING PURSE  | United Kingdom | Accessories,Supplier Escalation recommended for BROCADE RING PURSE  | United Kingdom | Accessories with priority 41.5.,Demand Buffer Optimization,41.53,Low,1347.14,Monitor,DI-00046
AL-00047,Supplier Delay,Watch,Inventory,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,Supplier Escalation recommended for WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other with priority 41.3.,Demand Buffer Optimization,41.29,Low,962.58,Monitor,DI-00047
AL-00048,Supplier Delay,Watch,Inventory,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,Supplier Escalation recommended for WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other with priority 41.3.,Reorder Today,41.29,Low,962.58,Monitor,DI-00048
AL-00049,Supplier Delay,Watch,Inventory,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,Supplier Escalation recommended for WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other with priority 41.3.,Supplier Review,41.29,Low,962.58,Monitor,DI-00049
AL-00050,Inventory Shortage,Watch,Inventory,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,Warehouse Transfer recommended for WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting with priority 41.3.,Move available stock to the warehouse-market pair with the highest demand coverage gap.,41.27,Low,2173.31,Monitor,DI-00050
AL-00051,Inventory Excess,Watch,Inventory,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,Reduce Overstock recommended for ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor with priority 41.3.,Demand Buffer Optimization,41.26,Low,4238.79,Monitor,DI-00051
AL-00052,Customer Leaving,Watch,Churn,14028,Retain High Value Customer recommended for 14028 with priority 41.2.,High Priority Follow-up,41.24,Low,4332.24,Monitor,DI-00052
AL-00053,Inventory Shortage,Watch,Inventory,BROCADE RING PURSE  | United Kingdom | Accessories,Warehouse Transfer recommended for BROCADE RING PURSE  | United Kingdom | Accessories with priority 41.2.,Move available stock to the warehouse-market pair with the highest demand coverage gap.,41.21,Low,1376.45,Monitor,DI-00053
AL-00054,Supplier Delay,Watch,Inventory,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,Supplier Escalation recommended for ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor with priority 41.1.,Supplier Review,41.15,Low,4055.14,Monitor,DI-00054
AL-00055,Supplier Delay,Watch,Inventory,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,Supplier Escalation recommended for WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other with priority 41.1.,Supplier Review,41.14,Low,704.58,Monitor,DI-00055
AL-00056,Supplier Delay,Watch,Inventory,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,Supplier Escalation recommended for WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other with priority 41.1.,Demand Buffer Optimization,41.14,Low,704.58,Monitor,DI-00056
AL-00057,Supplier Delay,Watch,Inventory,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,Supplier Escalation recommended for WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other with priority 41.1.,Reorder Today,41.14,Low,704.58,Monitor,DI-00057
AL-00058,Inventory Shortage,Watch,Inventory,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,Warehouse Transfer recommended for ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor with priority 41.1.,Move available stock to the warehouse-market pair with the highest demand coverage gap.,41.11,Low,1771.83,Monitor,DI-00058
AL-00059,Supplier Delay,Watch,Inventory,BROCADE RING PURSE  | United Kingdom | Accessories,Supplier Escalation recommended for BROCADE RING PURSE  | United Kingdom | Accessories with priority 41.1.,Demand Buffer Optimization,41.09,Low,624.87,Monitor,DI-00059
AL-00060,Supplier Delay,Watch,Inventory,BROCADE RING PURSE  | United Kingdom | Accessories,Supplier Escalation recommended for BROCADE RING PURSE  | United Kingdom | Accessories with priority 41.1.,Reorder Today,41.09,Low,624.87,Monitor,DI-00060
AL-00061,Supplier Delay,Watch,Inventory,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,Supplier Escalation recommended for WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other with priority 41.1.,Supplier Review,41.09,Low,620.44,Monitor,DI-00061
AL-00062,Supplier Delay,Watch,Inventory,BROCADE RING PURSE  | United Kingdom | Accessories,Supplier Escalation recommended for BROCADE RING PURSE  | United Kingdom | Accessories with priority 41.1.,Supplier Review,41.09,Low,624.87,Monitor,DI-00062
AL-00063,Supplier Delay,Watch,Inventory,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,Supplier Escalation recommended for WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other with priority 41.1.,Reorder Today,41.09,Low,620.44,Monitor,DI-00063
AL-00064,Supplier Delay,Watch,Inventory,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,Supplier Escalation recommended for WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other with priority 41.1.,Demand Buffer Optimization,41.09,Low,620.44,Monitor,DI-00064
AL-00065,Inventory Shortage,Watch,Inventory,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,Warehouse Transfer recommended for WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other with priority 41.1.,Move available stock to the warehouse-market pair with the highest demand coverage gap.,41.07,Low,1139.94,Monitor,DI-00065
AL-00066,Inventory Excess,Watch,Inventory,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,Reduce Overstock recommended for WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting with priority 41.0.,Demand Buffer Optimization,41.05,Low,4707.86,Monitor,DI-00066
AL-00067,Supplier Delay,Watch,Inventory,BROCADE RING PURSE  | United Kingdom | Accessories,Supplier Escalation recommended for BROCADE RING PURSE  | United Kingdom | Accessories with priority 41.0.,Reorder Today,41.03,Low,536.63,Monitor,DI-00067
AL-00068,Supplier Delay,Watch,Inventory,BROCADE RING PURSE  | United Kingdom | Accessories,Supplier Escalation recommended for BROCADE RING PURSE  | United Kingdom | Accessories with priority 41.0.,Supplier Review,41.03,Low,536.63,Monitor,DI-00068
AL-00069,Supplier Delay,Watch,Inventory,BROCADE RING PURSE  | United Kingdom | Accessories,Supplier Escalation recommended for BROCADE RING PURSE  | United Kingdom | Accessories with priority 41.0.,Demand Buffer Optimization,41.03,Low,536.63,Monitor,DI-00069
AL-00070,Supplier Delay,Watch,Inventory,BROCADE RING PURSE  | United Kingdom | Accessories,Supplier Escalation recommended for BROCADE RING PURSE  | United Kingdom | Accessories with priority 41.0.,Supplier Review,40.98,Low,452.02,Monitor,DI-00070
AL-00071,Supplier Delay,Watch,Inventory,BROCADE RING PURSE  | United Kingdom | Accessories,Supplier Escalation recommended for BROCADE RING PURSE  | United Kingdom | Accessories with priority 41.0.,Demand Buffer Optimization,40.98,Low,452.02,Monitor,DI-00071
